Sample,BPD24,TRP24
CTL0174,0.01655773,0.015763119
CTL0175,0.075047821,0.051677681
CTL0176,0.1169244,0.09556384
CTL0177,0.284902314,0.217351147
CTL0178,0.059089092,0.041999205
CTL0179,0.0466473,0.055617241
CTL0181,0.043941232,0.046525512
CTL0182,0.131490675,0.137224604
CTL0183,0.471425311,0.302969591
CTL0184,0.040361062,0.082997423
CTL0185,0.001724803,0.00230084
CTL0186,0.001580332,0.001180059
CTL0187,0.102231588,0.072541799
CTL0188,0.322706976,0.23684887
CTL0189,0.173384239,0.283809044
CTL0190,0.366743769,0.310770578
CTL0191,0.334743801,0.656433074
CTL0192,0.202660858,0.133326003
CTL0193,0.009891578,0.016484637
CTL0194,0.011483147,0.016166613
CTL0195,0.21455085,0.168394179
CTL0196,0.69313383,0.594202522
CTL0197,0.044005944,0.033112778
CTL0198,0.046360589,0.039669642
CTL0199,0.430092317,0.535181763
CTL0200,0.076050934,0.105970703
CTL0201,0.014963332,0.021951884
CTL0202,0.011165423,0.013266965
CTL0203,0.011739336,0.009870436
CTL0204,0.164858797,0.177678531
CTL0205,0.29914946,0.314852265
CTL0206,0.077248473,0.069357975
CTL0207,0.079659458,0.094948898
CTL0208,0.205797453,0.231466533
CTL0209,0.026004104,0.019653623
CTL0210,0.017463749,0.017451613
CTL0211,0.037904017,0.039747002
CTL0212,0.056738863,0.043878903
CTL0213,0.303333154,0.301996223
CTL0214,0.460057867,0.571737196
CTL0215,0.103615029,0.149421638
CTL0216,0.012397205,0.010909305
CTL0217,0.007407444,0.006857122
CTL0218,0.014440633,0.022835436
CTL0219,0.000283862,0.000514464
CTL0220,0.000217417,0.000347393
CTL0221,0.000441426,0.00114041
CTL0222,0.206840656,0.139843176
CTL0223,0.137478836,0.094378662
CTL0224,0.077019782,0.070553548
CTL0225,0.048505488,0.054549855
CTL0226,0.220948077,0.354046086
CTL0227,0.101397391,0.109440104
CTL0228,0.021516201,0.021517052
CTL0231,0.076692187,0.066154973
CTL0231A,0.000194167,0.000195238
CTL0231B,0.000130929,0.000206165
CTL0232,0.039170635,0.061229709
CTL0233,0.19924584,0.213508643
CTL0234,0.655656859,0.374295507
CTL0235,0.119850684,0.094076468
CTL0236,0.022505684,0.02518528
CTL0237,0.013905321,0.012042676
CTL0238,0.142459082,0.148505183
CTL0243,0.012116395,0.010420689
CTL0244,0.106052434,0.123170221
CTL0245,0.18221201,0.187374621
CTL0246,0.044061553,0.073322452
CTL0247,0.037968369,0.02815781
CTL0248,0.04971419,0.045378298
CTL0249,0.078086138,0.109029809
CTL0250,0.120507421,0.15384164
