Sample,90_min_after_cold_stress,90_min_after_oxy_stress
eco_gcs1_t10777,3.0908E-05,0.000499271
eco_gcs1_t01152,0.001066991,0.000847022
eco_gcs1_t07537,0.000626955,0.000828179
eco_gcs1_t08233,9.37733E-05,0.000341059
eco_gcs1_t12082,0.004206125,0.002997266
eco_gcs1_t11103,4.48546E-06,0.000199602
eco_gcs1_t04894,0.000244489,0.00119472
eco_gcs1_t09844,4.60147E-05,0.000609622
eco_gcs1_t11810,0.000117349,0.00037352
eco_gcs1_t04555,0.000194887,0.00016955
eco_gcs1_t12109,0.034719615,0.045525431
eco_gcs1_t07689,0.000277902,0.000621551
eco_gcs1_t09911,0.000250208,0.000394592
eco_gcs1_t11938,0.000189644,0.000654429
eco_gcs1_t00498,9.28544E-05,0.00014297
eco_gcs1_t07013,0.000470292,0.000704736
eco_gcs1_t11300,0.000373786,0.000440707
eco_gcs1_t04025,9.4646E-06,8.98991E-05
eco_gcs1_t12107,0.011556754,0.01658064
eco_gcs1_t02192,0.000970582,0.001544573
eco_gcs1_t09071,0.00067757,0.001005626
eco_gcs1_t05653,2.74051E-05,0.000152216
eco_gcs1_t11468,0.000157825,0.000211507
eco_gcs1_t07466,1.43318E-05,8.18149E-05
eco_gcs1_t06772,0.001683112,0.000801136
eco_gcs1_t10518,0.000797667,0.00053867
eco_gcs1_t07579,7.80588E-05,0.000362972
eco_gcs1_t03286,0.005802263,0.001898487
eco_gcs1_t00504,0.002901104,0.000278746
eco_gcs1_t10499,0.004077845,0.001561522
eco_gcs1_t02410,0.000433942,0.000506724
eco_gcs1_t08035,0.000603313,0.000985805
eco_gcs1_t10849,3.47257E-05,0.000269873
eco_gcs1_t11349,0.000187507,0.000188694
eco_gcs1_t11893,4.64878E-05,0.000280968
eco_gcs1_t07700,9.34173E-06,0.000143203
eco_gcs1_t04480,4.1071E-05,0.000222564
eco_gcs1_t04692,0.00011409,0.000116031
eco_gcs1_t02649,3.47272E-05,0.000297379
eco_gcs1_t03999,1.1025E-05,8.96314E-05
eco_gcs1_t02173,0.005477121,0.001462695
eco_gcs1_t12339,0.880453794,0.794414069
eco_gcs1_t05272,3.76865E-05,0.00014668
eco_gcs1_t11804,3.12701E-05,0.000241532
eco_gcs1_t10605,0.000752385,0.001584031
eco_gcs1_t05627,9.15997E-05,0.000522862
eco_gcs1_t04368,0.000117663,0.000285448
eco_gcs1_t08950,4.77144E-05,0.000408053
eco_gcs1_t05602,2.68867E-05,0.000167337
eco_gcs1_t04461,9.45498E-05,0.000186106
eco_gcs1_t06010,1.52751E-05,0.000200779
eco_gcs1_t00251,0.016702313,0.01257776
eco_gcs1_t01964,0.001603953,0.00053693
eco_gcs1_t08429,0.007360945,0.006599701
eco_gcs1_t09087,0.000387697,0.000875367
eco_gcs1_t05496,0.001883227,0.002229411
eco_gcs1_t03646,0.001567274,0.001855119
eco_gcs1_t04648,8.82017E-05,9.27155E-05
eco_gcs1_t07272,5.38132E-06,1.22049E-05
eco_gcs1_t10319,0.000164646,0.000427758
eco_gcs1_t06219,0.002060033,0.002431832
eco_gcs1_t04961,0.019554411,0.001519081
eco_gcs1_t00315,6.60429E-06,1.72686E-05
eco_gcs1_t03900,7.4736E-05,0.000284043
eco_gcs1_t03649,1.40915E-05,0.000227426
eco_gcs1_t05060,0.000538961,0.000297478
eco_gcs1_t02394,3.95643E-05,0.000934711
eco_gcs1_t08577,0.017414809,0.003477223
eco_gcs1_t06399,0.004568215,0.00358845
eco_gcs1_t00816,3.43977E-05,0.000248042
eco_gcs1_t05522,9.96419E-05,8.59415E-05
eco_gcs1_t05945,0.000740683,0.000542522
eco_gcs1_t10272,6.36259E-05,0.00017124
eco_gcs1_t09712,1.22482E-05,2.14352E-05
eco_gcs1_t07820,0.000408021,0.000400586
eco_gcs1_t05693,1.01185E-05,1.49934E-05
eco_gcs1_t01912,1.36384E-05,4.65942E-05
eco_gcs1_t06616,1.27791E-05,0.000243204
eco_gcs1_t01132,0.001309346,0.000726371
eco_gcs1_t10882,0.000188719,0.000273617
eco_gcs1_t02108,0.00021137,0.001189844
eco_gcs1_t03766,0.000248684,0.0014444
eco_gcs1_t05791,1.0636E-05,0.000130128
eco_gcs1_t05443,0.005383733,0.00730328
eco_gcs1_t05980,0.000200292,0.000363374
eco_gcs1_t00575,0.000194284,0.000251173
eco_gcs1_t00889,0.00036186,0.000671317
eco_gcs1_t03422,0.000194528,0.000302612
eco_gcs1_t11841,0.000235913,0.000843082
eco_gcs1_t11922,0.000280214,0.000686113
eco_gcs1_t12451,0.001425675,0.002053229
eco_gcs1_t01421,0.000851228,0.000663847
eco_gcs1_t06868,0.003688683,0.017018467
eco_gcs1_t10128,1.22987E-05,0.000182477
eco_gcs1_t01083,0.000263255,0.000569089
eco_gcs1_t10780,9.28161E-05,0.000254588
eco_gcs1_t02349,0.006552475,0.001096371
eco_gcs1_t00125,0.001527747,0.000728988
eco_gcs1_t12309,0.002141527,0.00068565
eco_gcs1_t10397,4.59367E-05,0.000406918
eco_gcs1_t06118,0.000222554,0.000252479
eco_gcs1_t02840,0.001466162,0.000758272
eco_gcs1_t03968,2.02303E-05,8.25457E-05
eco_gcs1_t09153,1.18544E-05,0.000306632
eco_gcs1_t00754,5.73461E-05,0.000223748
eco_gcs1_t10474,0.001792905,0.001938968
eco_gcs1_t05807,0.001648473,0.000981096
eco_gcs1_t11573,3.2339E-05,0.000441107
eco_gcs1_t08457,0.002320929,0.001137204
eco_gcs1_t00852,2.7087E-05,7.80354E-05
eco_gcs1_t04551,1.95422E-05,9.72756E-06
eco_gcs1_t06241,0.000117097,0.001744134
eco_gcs1_t00429,0.001685609,0.00232769
eco_gcs1_t11230,0.00028554,0.000255106
eco_gcs1_t05305,3.35261E-05,4.35494E-05
eco_gcs1_t12366,0.818560355,0.760390995
eco_gcs1_t03373,1.09486E-05,0.000249942
eco_gcs1_t00034,0.004557003,0.006994243
eco_gcs1_t10343,0.000111195,0.000428733
eco_gcs1_t09129,0.000928119,0.001448391
eco_gcs1_t09537,0.002857599,0.00271492
eco_gcs1_t08422,4.44744E-05,0.000292569
eco_gcs1_t02669,0.001050631,0.000740509
eco_gcs1_t09196,3.10763E-05,0.000291011
eco_gcs1_t01247,4.4005E-05,0.000660745
eco_gcs1_t03312,0.00019198,0.000653709
eco_gcs1_t12401,0.000312567,0.00129165
eco_gcs1_t04112,0.000351635,0.000885272
eco_gcs1_t07095,0.000123878,0.00023121
eco_gcs1_t00112,0.007059632,0.006220468
eco_gcs1_t10418,0.000452769,0.001046422
eco_gcs1_t00022,6.42244E-05,0.000355678
eco_gcs1_t02596,1.4765E-05,3.14205E-05
eco_gcs1_t05924,6.18607E-05,0.00013102
eco_gcs1_t00693,0.000350354,0.001084798
eco_gcs1_t05895,6.55728E-05,0.000184698
eco_gcs1_t11503,0.00015954,0.001450259
eco_gcs1_t01164,0.005408492,0.003842921
eco_gcs1_t10426,0.000137519,0.000497836
eco_gcs1_t05561,0.000100342,0.000224568
eco_gcs1_t07033,0.000105704,0.000155089
eco_gcs1_t03198,0.000314542,0.000512971
eco_gcs1_t06009,2.2417E-05,0.000153524
eco_gcs1_t07307,0.000193654,0.005023796
eco_gcs1_t12087,0.000557257,0.000835423
eco_gcs1_t01838,0.000166633,0.000288487
eco_gcs1_t11374,4.56435E-05,2.89637E-05
eco_gcs1_t04989,0.001892345,0.002705665
eco_gcs1_t10015,0.002616926,0.001447521
eco_gcs1_t10705,0.000227323,0.000511473
eco_gcs1_t06719,2.09557E-05,0.000648602
eco_gcs1_t09109,5.17191E-05,0.000236389
eco_gcs1_t10369,0.000723982,0.000951745
eco_gcs1_t04156,0.000362979,1.49137E-05
eco_gcs1_t01397,6.04497E-06,0.000157936
eco_gcs1_t08833,0.135033012,0.052832806
eco_gcs1_t05834,1.32935E-05,2.65747E-05
eco_gcs1_t07314,9.71156E-05,0.000211186
eco_gcs1_t08169,0.000171665,0.000196447
eco_gcs1_t10700,1.06702E-05,0.000216997
eco_gcs1_t10366,7.37263E-05,0.000457079
eco_gcs1_t06531,0.000500392,0.000695416
eco_gcs1_t09519,9.71453E-05,0.000295706
eco_gcs1_t03537,8.19171E-05,0.001198365
eco_gcs1_t05287,5.55271E-06,0.000234226
eco_gcs1_t04571,0.004524234,0.000348312
eco_gcs1_t11408,2.25786E-05,0.000172352
eco_gcs1_t10750,2.33497E-05,5.20922E-05
eco_gcs1_t01450,3.97286E-06,3.05E-05
eco_gcs1_t03636,7.80172E-05,0.000505264
eco_gcs1_t11337,0.000102278,0.000569764
eco_gcs1_t08645,4.36925E-05,0.000157627
eco_gcs1_t00297,0.000137953,7.74666E-05
eco_gcs1_t06879,0.000293754,0.000641817
eco_gcs1_t08788,2.17297E-05,0.000132381
eco_gcs1_t05373,8.84254E-06,4.88691E-05
eco_gcs1_t07736,3.25555E-05,0.000384328
eco_gcs1_t00628,2.06428E-05,2.23842E-05
eco_gcs1_t02995,0.000540367,0.000980152
eco_gcs1_t10636,0.000390145,0.000510946
eco_gcs1_t05777,2.23806E-05,7.67649E-05
eco_gcs1_t01853,0.001146682,0.002455257
eco_gcs1_t04108,2.74499E-05,0.000317272
eco_gcs1_t09569,0.00257377,0.001572099
eco_gcs1_t12048,0.000125168,0.000502684
eco_gcs1_t11899,0.000391558,0.000319296
eco_gcs1_t01061,3.4592E-05,9.91403E-05
eco_gcs1_t10187,1.56279E-05,0.000107819
eco_gcs1_t09759,0.008737225,0.002103451
eco_gcs1_t06638,0.001504161,0.000267425
eco_gcs1_t08393,0.001311445,0.035302588
eco_gcs1_t04838,7.35371E-05,0.000394419
eco_gcs1_t10000,0.000679114,0.002060446
eco_gcs1_t11373,3.3278E-05,0.000116268
eco_gcs1_t01314,2.04508E-05,6.89087E-05
eco_gcs1_t04947,7.67382E-05,0.000221925
eco_gcs1_t04530,5.25198E-06,1.58795E-05
eco_gcs1_t11754,0.001722988,0.000818606
eco_gcs1_t02752,0.004067581,0.001732839
eco_gcs1_t11865,0.00015557,0.000480108
eco_gcs1_t04803,3.92363E-06,2.42448E-05
eco_gcs1_t02957,0.000424559,1.14739E-05
eco_gcs1_t10447,0.017661419,0.013817422
eco_gcs1_t08095,0.021313088,0.003906977
eco_gcs1_t05460,0.002964605,0.00317007
eco_gcs1_t03006,2.8727E-05,0.012893623
eco_gcs1_t08866,1.72513E-05,0.000250373
eco_gcs1_t07050,1.40676E-05,6.60774E-05
eco_gcs1_t00691,0.000678669,0.003309609
eco_gcs1_t06598,3.50781E-05,8.81696E-05
eco_gcs1_t09045,0.000149283,0.000277597
eco_gcs1_t12492,0.0005732,0.001472073
eco_gcs1_t08346,3.09298E-05,0.000177992
eco_gcs1_t08259,2.2817E-05,0.000270429
eco_gcs1_t11635,0.006769297,0.001465891
eco_gcs1_t11964,0.000443737,0.001148993
eco_gcs1_t02796,1.12555E-05,7.96303E-05
eco_gcs1_t01072,0.000118936,0.000192187
eco_gcs1_t11629,0.001592199,0.008776376
eco_gcs1_t11479,0.000205791,0.000591493
eco_gcs1_t07450,0.001220418,0.000404574
eco_gcs1_t10718,2.35879E-05,0.000458299
eco_gcs1_t11465,0.00059399,0.001090767
eco_gcs1_t07385,9.61609E-06,7.88679E-05
eco_gcs1_t11242,9.29957E-05,0.000221754
eco_gcs1_t11076,0.007405138,0.00685023
eco_gcs1_t10724,0.004614066,0.00036386
eco_gcs1_t06206,0.000535394,0.001176738
eco_gcs1_t10641,5.20684E-06,2.11351E-05
eco_gcs1_t12223,0.000319755,0.010591271
eco_gcs1_t06613,2.07219E-05,0.000222322
eco_gcs1_t07108,8.41781E-06,9.79903E-05
eco_gcs1_t08161,3.43513E-05,0.000207689
eco_gcs1_t06027,1.90649E-05,8.8047E-05
eco_gcs1_t04904,0.002782871,0.001394247
eco_gcs1_t02778,0.000348206,0.000339038
eco_gcs1_t11850,9.52548E-05,0.001897165
eco_gcs1_t01087,0.052281806,0.011302081
eco_gcs1_t07897,1.13237E-05,5.84853E-05
eco_gcs1_t02334,0.013677371,0.006349889
eco_gcs1_t03057,1.78961E-05,0.000190336
eco_gcs1_t10840,2.67245E-05,5.92367E-05
eco_gcs1_t01475,3.40007E-05,0.000440378
eco_gcs1_t05618,6.58644E-06,1.23488E-05
eco_gcs1_t07525,0.000245847,0.000499664
eco_gcs1_t04636,4.44801E-05,0.000291128
eco_gcs1_t10289,1.69134E-05,0.000422734
eco_gcs1_t02661,0.000300176,0.000189422
eco_gcs1_t10690,1.5554E-05,8.29695E-05
eco_gcs1_t02810,0.00165706,0.001249519
eco_gcs1_t04716,0.000235802,0.000292675
eco_gcs1_t02260,0.003581476,0.006552241
eco_gcs1_t09269,0.000346754,0.000533455
eco_gcs1_t09649,7.39287E-05,0.00041592
eco_gcs1_t02489,3.11783E-05,0.000107928
eco_gcs1_t00028,5.94114E-06,3.65559E-05
eco_gcs1_t09887,4.47382E-05,0.000302859
eco_gcs1_t04503,9.62231E-05,0.000260459
eco_gcs1_t04062,0.005548713,0.001162265
eco_gcs1_t00625,2.13219E-05,0.000216052
eco_gcs1_t01641,0.000879033,0.001167628
eco_gcs1_t06918,0.038891086,0.009460188
eco_gcs1_t06239,8.1528E-05,0.000325984
eco_gcs1_t02838,0.000321743,0.000142724
eco_gcs1_t08182,1.38649E-05,0.000212796
eco_gcs1_t10120,0.002035984,0.00217688
eco_gcs1_t03590,0.00014918,0.000431688
eco_gcs1_t00466,5.86096E-05,0.00036209
eco_gcs1_t06763,0.000712479,0.000504127
eco_gcs1_t01774,0.00035132,0.000427259
eco_gcs1_t04582,0.000316271,0.000653025
eco_gcs1_t11955,0.002186438,0.001310904
eco_gcs1_t03471,0.000285531,0.000411834
eco_gcs1_t04293,0.000115123,0.000289312
eco_gcs1_t04558,1.6319E-05,5.46567E-05
eco_gcs1_t04745,4.69283E-05,0.000174093
eco_gcs1_t00156,0.033612114,0.01943308
eco_gcs1_t04256,8.30369E-05,0.000299434
eco_gcs1_t01993,1.62769E-05,5.20315E-05
eco_gcs1_t07793,0.012000241,0.016245293
eco_gcs1_t06997,5.79456E-05,3.6E-05
eco_gcs1_t11992,6.95315E-05,0.000300587
eco_gcs1_t03815,6.0167E-05,0.000188218
eco_gcs1_t09500,0.000113582,0.00052672
eco_gcs1_t12354,0.843934156,0.769256966
eco_gcs1_t08247,0.000176339,0.00030736
eco_gcs1_t05649,0.000809769,0.01504271
eco_gcs1_t10464,0.003019756,0.003683475
eco_gcs1_t11740,0.002596201,0.000837677
eco_gcs1_t10064,5.76507E-05,0.001076334
eco_gcs1_t00491,0.000636641,0.000350721
eco_gcs1_t06843,5.37529E-05,0.000401565
eco_gcs1_t01814,0.000141166,7.5866E-05
eco_gcs1_t06367,1.99087E-05,3.53102E-05
eco_gcs1_t09622,2.52802E-05,0.000113246
eco_gcs1_t06855,1.52485E-05,0.000101328
eco_gcs1_t00348,0.000567252,0.00132675
eco_gcs1_t10196,1.2869E-05,0.00023608
eco_gcs1_t01171,0.000176811,0.000258138
eco_gcs1_t07987,0.00165861,0.001433071
eco_gcs1_t01184,0.000255695,0.000121601
eco_gcs1_t01897,2.89089E-05,2.09862E-05
eco_gcs1_t03494,8.91861E-05,0.000310497
eco_gcs1_t05737,0.000529022,0.001382841
eco_gcs1_t11644,3.76898E-05,0.000193609
eco_gcs1_t07412,5.97578E-05,8.83188E-05
eco_gcs1_t02267,0.000723244,0.001665113
eco_gcs1_t08679,0.000238563,0.000200291
eco_gcs1_t06705,1.28915E-05,0.000348012
eco_gcs1_t00560,8.34513E-05,0.000646263
eco_gcs1_t11198,5.28693E-05,0.000402337
eco_gcs1_t10668,5.07436E-05,0.000193113
eco_gcs1_t08778,4.80097E-05,4.42901E-05
eco_gcs1_t02511,4.28845E-05,0.00013696
eco_gcs1_t03547,1.16668E-05,0.00016555
eco_gcs1_t08820,0.001597824,0.000557645
eco_gcs1_t03164,2.89305E-05,1.30624E-05
eco_gcs1_t07822,0.000219016,0.00036356
eco_gcs1_t06556,0.000850495,0.007501798
eco_gcs1_t05760,0.002191112,0.000441574
eco_gcs1_t10056,0.001395508,0.002402609
eco_gcs1_t05196,0.001396239,0.000331638
eco_gcs1_t11579,0.000164519,0.000465717
eco_gcs1_t07951,0.000860532,0.001074853
eco_gcs1_t00762,9.2362E-06,0.000253374
eco_gcs1_t00084,1.2078E-05,5.48476E-05
eco_gcs1_t02693,0.000130484,0.000139559
eco_gcs1_t05129,4.23875E-05,0.000167506
eco_gcs1_t06102,3.26213E-05,0.000247878
eco_gcs1_t08936,0.000534706,0.00047636
eco_gcs1_t03013,0.000262589,0.000555711
eco_gcs1_t05202,0.000237745,0.000913686
eco_gcs1_t08387,0.029024687,0.007819746
eco_gcs1_t09977,0.000238072,0.000671515
eco_gcs1_t00823,1.95672E-05,0.000182922
eco_gcs1_t03224,3.91521E-05,0.000124288
eco_gcs1_t00509,0.002866104,0.000979955
eco_gcs1_t10017,0.001670139,0.001711297
eco_gcs1_t04537,5.11376E-06,2.55407E-05
eco_gcs1_t09164,0.000234842,0.000350644
eco_gcs1_t08364,1.5031E-05,0.00049012
eco_gcs1_t06869,3.97035E-05,0.000254321
eco_gcs1_t11055,5.903E-06,1.13549E-05
eco_gcs1_t01714,3.18104E-05,0.00039372
eco_gcs1_t07504,1.27013E-05,0.000326398
eco_gcs1_t11142,1.98326E-05,0.000689362
eco_gcs1_t09687,9.62E-06,0.000334636
eco_gcs1_t04089,0.001451292,0.004275986
eco_gcs1_t05599,0.00013626,0.000217948
eco_gcs1_t03099,0.008270127,0.005388821
eco_gcs1_t02970,0.00300594,0.000364016
eco_gcs1_t10172,2.96326E-05,0.000370472
eco_gcs1_t09993,0.000532806,0.000824963
eco_gcs1_t02673,0.003119548,0.001654527
eco_gcs1_t08931,6.83691E-05,0.000323867
eco_gcs1_t05488,0.003542729,0.004334625
eco_gcs1_t09369,9.35056E-06,0.000125491
