Sample,ZLM,ZRM
nrdE,0.278857836,0.544517486
nrdI,0.239275215,0.151060169
cstA,0.009651679,0.013105916
pgmA,0.009986795,0.008051558
ftsX,0.036260905,0.015394806
ftsE,0.018819302,0.008532509
fprA,0.021396315,0.009979734
nuoA,0.120396597,0.041003264
nuoC,0.091354967,0.03723217
nuoD,0.118576408,0.087646772
nuoE,0.132776828,0.048068872
nuoF,0.117229883,0.085266064
nuoG,0.178968242,0.199319236
nuoH,0.13192908,0.109936667
nuoI,0.140681922,0.058540488
nuoJ,0.11502955,0.049813413
nuoK,0.067574741,0.012428213
nuoN,0.068923863,0.107599683
nudC,0.037239409,0.023951363
sigH,0.095223952,0.036843037
aroA,0.022560994,0.014065632
manA,0.05771264,0.030498856
purE,0.043151127,0.008355432
purK,0.045443249,0.016485691
birA,0.01274219,0.006774852
sigF,0.055089732,0.01055469
lat,0.421570368,0.02046884
nei,0.02709588,0.007511581
deoD,0.037362371,0.012631524
upp,0.015907172,0.020280832
deoA,0.010385989,0.010185232
cdd,0.005054445,0.002236422
sdhC,0.016190332,0.004280464
sdhD,0.018362089,0.004857606
sdhA,0.095623146,0.016787378
nagA,0.032037755,0.019323302
folD,0.03240058,0.016087813
dnaE2,0.0342632,0.012718969
guaA,0.036823761,0.032503547
gcp,0.050975689,0.026120015
alr,0.05440045,0.012504728
rpsI,0.170708116,0.038458596
truA,0.138511896,0.05302704
rplQ,0.369855173,0.13186585
rpoA,0.287354361,0.16225977
rpsD,0.285311627,0.076226371
rpsK,0.283432555,0.070144526
rpmJ,0.383722209,0.037332733
infA,0.499927695,0.120878304
otsA,0.11038902,0.086693615
fdxD,0.054982357,0.001781705
ispF,0.291793995,0.052821543
ispD,0.5918663,0.113972284
radA,0.04047886,0.021745546
lsr2,0.241474682,0.028220896
panD,0.039814691,0
panC,0.030864417,0
folK,0.076120624,0.013464444
folE,0.094648107,0.015110608
ftsH,0.117707012,0.087707984
hpt,0.05322971,0.022123749
ppa,0.017193947,0.007898528
topA,0.061847466,0.100910091
csp,0.895398004,0.041001078
acs,0.014196956,0.016249587
glpK,0.018861732,0.018217114
asd,0.08912346,0.037081327
ask,0.116942394,0.052753773
leuA,0.097319507,0.061990219
dnaQ,0.094458468,0.044704401
recR,0.060677592,0.034774948
dnaZX,0.035550841,0.027700595
ligC,0.00635421,0.004523126
tyrA,0.017492694,0.016345778
rfbE,0.052052043,0.014736778
rfbD,0.048067889,0.034499494
embC,0.033849285,0.047111342
embA,0.041015738,0.059898082
fbpA,0.832827485,0.322724719
glf,0.032677678,0.01985672
pheA,0.04970883,0.015663702
gltD,0.109802784,0.075918125
rnpA,0.155634836,0.03245108
rpmH,0.127317992,0.019213995
