Sample,UTD24,TRP24
CTL0125,0.017102094,0.021261035
CTL0126,0.011254461,0.018890529
CTL0127,0.138176516,0.156764904
CTL0128,0.051686077,0.05776061
CTL0129,0.039292797,0.034724517
CTL0130,0.010291601,0.007214563
CTL0131,0.087094649,0.144399303
CTL0132,0.068140506,0.133071035
CTL0133,0.002175179,0.004090377
CTL0134,0.004538415,0.003129579
CTL0135,0.028211649,0.050625165
CTL0136,0.013144714,0.01759382
CTL0137,0.115099904,0.592767328
CTL0138,0.10271919,0.196665968
CTL0139,0.113248045,0.231503297
CTL0140,0.065979745,0.196162043
CTL0141,0.03243375,0.102254106
CTL0142,0.085134085,0.190059559
CTL0143,0.003679437,0.013920018
CTL0144,0.071382031,0.089001492
CTL0145,0.083963847,0.086006294
CTL0146,0.075829845,0.103715557
CTL0147,0.009172142,0.01658753
CTL0148,0.000311992,0.000703424
CTL0149,0.050992721,0.026542607
CTL0150,0.037651618,0.072390041
CTL0151,0.056507657,0.233137809
CTL0152,0.48840552,0.139268921
CTL0153,0.06606348,0.194614918
CTL0153A,0.005207125,0.013088173
CTL0154,0.048387447,0.14666547
CTL0155,0.06873673,0.224521905
CTL0156,0.016570735,0.023546894
CTL0157,0.0074597,0.007079864
CTL0158,0.094128317,0.129646992
CTL0159,0.04249923,0.043512747
CTL0160,0.091608653,0.153853328
CTL0161,0.000417523,0.000415551
CTL0162,0.028003132,0.046138811
CTL0163,0.002019823,0.004291265
CTL0164,0.057080433,0.331816551
CTL0165,0.038995238,0.157236277
CTL0166,0.047934286,0.062731674
CTL0168,0.244484001,0.913272842
CTL0169,0.032878642,0.103414181
CTL0170,0.203391934,1
CTL0172,0.022769562,0.120194128
CTL0173,0.008540905,0.03187524
CTL0174,0.032907099,0.015763119
CTL0175,0.027384699,0.051677681
CTL0176,0.040222411,0.09556384
CTL0177,0.095884628,0.217351147
CTL0178,0.01262512,0.041999205
CTL0179,0.015732428,0.055617241
CTL0181,0.013836164,0.046525512
CTL0182,0.042669243,0.137224604
CTL0183,0.206432531,0.302969591
CTL0184,0.017812775,0.082997423
CTL0185,0.089133635,0.00230084
CTL0186,0.054861805,0.001180059
CTL0187,0.089754329,0.072541799
CTL0188,0.15721126,0.23684887
CTL0189,0.062755055,0.283809044
CTL0190,0.126483131,0.310770578
CTL0191,0.204737425,0.656433074
CTL0192,0.07011609,0.133326003
CTL0193,0.075718471,0.016484637
