Sample,UTD24,TRP24
CTL0793,0.093826829,0.121931877
CTL0794,0.025183263,0.022878454
CTL0795,0.128267641,0.117403678
CTL0796,0.077135464,0.069397143
CTL0797,0.098227947,0.071122157
CTL0798,0.038067048,0.046133927
CTL0799,0.031392081,0.056164316
CTL0800,0.120397265,0.295095416
CTL0801,0.038178126,0.18006039
CTL0802,0.036719723,0.096218339
CTL0803,0.09594193,0.229983618
CTL0804,0.162275072,0.604029532
CTL0805,0.044661814,0.224000179
CTL0806,0.663164812,0.605278456
CTL0807,0.147260516,0.097911254
CTL0808,0.072236535,0.011448246
CTL0809,0.038501,0.066524889
CTL0810,0.007416617,0.017715527
CTL0811,0.010142182,0.043737965
CTL0812,0.108396015,0.014518304
CTL0813,0.045189934,0.098369438
CTL0814,0.001156097,0.005965028
CTL0815,0.004240433,0.017894341
CTL0817,0.056921799,0.201729979
CTL0818,0.029475472,0.030717228
CTL0819,0.515383621,0.489790976
CTL0820,0.136260632,0.296593772
CTL0821,0.020065834,0.051214801
CTL0822,0.46847798,0.251314679
CTL0823,0.065743876,0.034036224
CTL0824,0.06671583,0.029731258
CTL0825,0.021952794,0.01141962
CTL0826,0.016802351,0.012094372
CTL0827,0.021003456,0.013992806
CTL0829,0.012358038,0.019969532
CTL0830,0.007992268,0.01343214
CTL0831,0.005123446,0.012292415
CTL0832,0.007323977,0.018544689
CTL0833,0.012413784,0.01945415
CTL0834,0.026281301,0.036170485
CTL0835,0.05524813,0.107604837
CTL0836,0.014701649,0.053050435
CTL0837,0.037600207,0.035817312
CTL0838,0.066722628,0.046302723
CTL0839,0.100136823,0.002439002
CTL0840,0.017761374,0.000397083
CTL0841,0.191312065,0.005787268
CTL0842,0.212389012,0.005247182
CTL0843,0.009074189,0.047661398
CTL0844,0.045498691,0.33668161
CTL0845,0.025835612,0.0824341
CTL0846,0.014278976,0.039304431
CTL0847,0.055429605,0.133594359
CTL0848,0.059086597,0.387741242
CTL0849,0.028383093,0.052012811
CTL0850,0.060182571,0.150891238
CTL0851,0.02155722,0.020635251
CTL0852,0.008399009,0.003618576
CTL0853,0.165386259,0.041138871
CTL0854,0.041201205,0.018152799
CTL0855,0.024896779,0.016735488
CTL0856,0.034607817,0.018059349
CTL0858,0.022237288,0.033428569
CTL0859,0.08057427,0.059602663
CTL0860,0.01716158,0.024064347
CTL0861,0.001568196,0.003118386
CTL0861A,0.000497541,0.001532044
CTL0862,0.019578965,0.081068537
CTL0863,0.04970608,0.117003472
CTL0864,0.032100881,0.042564267
CTL0865,0.084927946,0.021618502
CTL0866,0.082326836,0.525324743
CTL0867,0.092587903,0.037491554
CTL0868,0.047116273,0.046451614
CTL0869,0.015852662,0.046304883
CTL0870,0.026258615,0.012703237
CTL0871,0.009063407,0.032537449
CTL0872,0.0910025,0.270892494
CTL0873,0.033668692,0.012470974
CTL0875,0.126810862,0.238183264
CTL0876,0.034370257,0.143687268
CTL0877,0.164972052,0.658360741
CTL0878,0.016074999,0.057752829
CTL0879,0.117490319,0.397688873
CTL0880,0.067724489,0.065165254
CTL0881,0.087795389,0.302447723
CTL0882,0.02022067,0.187900022
CTL0883,0.212695623,0.022234064
CTL0884,0.241186787,0.040471424
CTL0885,0.420323645,0.062881908
CTL0886,0.221146234,0.016834248
CTL0887,0.108218601,0.735092245
CTL0888,0.042958163,0.154461396
CTL0889,0.045567654,0.122407979
CTL0890,0.09792998,0.314283024
CTL0891,0.030323297,0.127362974
CTL0892,0.086602347,0.083544003
CTL0893,0.091979128,0.080290402
CTL0894,0.105197673,0.019337186
CTL0895,0.073967303,0.207798169
CTL0897,0.111294505,0.230969856
