Sample,UTD24,BPD24
CTL0794,0.025183263,0.030231258
CTL0795,0.128267641,0.184295407
CTL0796,0.077135464,0.063219218
CTL0797,0.098227947,0.077989493
CTL0798,0.038067048,0.052161544
CTL0799,0.031392081,0.063099148
CTL0800,0.120397265,0.330762556
CTL0801,0.038178126,0.164396682
CTL0802,0.036719723,0.087501953
CTL0803,0.09594193,0.245771874
CTL0804,0.162275072,0.726237428
CTL0805,0.044661814,0.197366396
CTL0806,0.663164812,0.562350285
CTL0807,0.147260516,0.138374002
CTL0808,0.072236535,0.009644818
CTL0809,0.038501,0.116777252
CTL0810,0.007416617,0.020669139
CTL0811,0.010142182,0.045273695
CTL0812,0.108396015,0.014915113
CTL0813,0.045189934,0.094456489
CTL0814,0.001156097,0.006652386
CTL0815,0.004240433,0.019758775
CTL0817,0.056921799,0.156660953
CTL0818,0.029475472,0.036061755
CTL0819,0.515383621,0.342562788
CTL0820,0.136260632,0.30534725
CTL0821,0.020065834,0.046102641
CTL0822,0.46847798,0.175688598
CTL0823,0.065743876,0.032459675
CTL0824,0.06671583,0.02655093
CTL0825,0.021952794,0.010798488
CTL0826,0.016802351,0.008043942
CTL0827,0.021003456,0.012179825
CTL0829,0.012358038,0.019771781
CTL0830,0.007992268,0.01627796
CTL0831,0.005123446,0.012027866
CTL0832,0.007323977,0.018029461
CTL0833,0.012413784,0.023610607
CTL0834,0.026281301,0.042515811
CTL0835,0.05524813,0.114616879
CTL0836,0.014701649,0.052205358
CTL0837,0.037600207,0.061047018
CTL0838,0.066722628,0.043397856
CTL0839,0.100136823,0.001474606
CTL0840,0.017761374,0.000327655
CTL0841,0.191312065,0.003912758
CTL0842,0.212389012,0.002907878
CTL0843,0.009074189,0.033981287
CTL0844,0.045498691,0.237093074
CTL0845,0.025835612,0.067743745
CTL0846,0.014278976,0.036503597
CTL0847,0.055429605,0.180366939
CTL0848,0.059086597,0.39224244
CTL0849,0.028383093,0.0716421
CTL0850,0.060182571,0.166783512
CTL0851,0.02155722,0.021484934
CTL0852,0.008399009,0.00385082
CTL0853,0.165386259,0.024147947
CTL0854,0.041201205,0.015300405
CTL0855,0.024896779,0.016846798
CTL0856,0.034607817,0.01492756
CTL0858,0.022237288,0.032101588
CTL0859,0.08057427,0.042604627
CTL0860,0.01716158,0.025502986
CTL0861,0.001568196,0.003085495
CTL0861A,0.000497541,0.001332506
CTL0862,0.019578965,0.064750537
CTL0863,0.04970608,0.078021515
CTL0864,0.032100881,0.047647892
CTL0865,0.084927946,0.018209645
CTL0866,0.082326836,0.351947145
CTL0867,0.092587903,0.028911145
CTL0868,0.047116273,0.041842866
CTL0869,0.015852662,0.062207531
CTL0870,0.026258615,0.009570221
CTL0871,0.009063407,0.018756809
CTL0872,0.0910025,0.204046521
CTL0873,0.033668692,0.008076364
CTL0875,0.126810862,0.318121395
CTL0876,0.034370257,0.143418822
CTL0877,0.164972052,0.520562734
CTL0878,0.016074999,0.043040486
CTL0879,0.117490319,0.304163992
CTL0880,0.067724489,0.074671827
CTL0881,0.087795389,0.222858407
CTL0882,0.02022067,0.133132848
CTL0883,0.212695623,0.017752799
CTL0884,0.241186787,0.03609823
CTL0885,0.420323645,0.040443968
CTL0886,0.221146234,0.013100928
CTL0887,0.108218601,0.599063451
CTL0888,0.042958163,0.120948716
CTL0889,0.045567654,0.098048513
CTL0890,0.09792998,0.278931167
CTL0891,0.030323297,0.114883352
CTL0892,0.086602347,0.097915624
CTL0893,0.091979128,0.082267096
CTL0894,0.105197673,0.015721219
CTL0895,0.073967303,0.388627948
CTL0897,0.111294505,0.298666258
