Sample,UTD24,BPD24
CTL0063,0.152321503,0.004279763
CTL0064,0.098428134,0.028449976
CTL0065,0.06395315,0.02461396
CTL0066,0.000532091,0.004841343
CTL0067,0.015494762,0.046087093
CTL0068,0.011465917,0.026252951
CTL0069,0.096404295,0.125437752
CTL0070,0.328770649,0.494470856
CTL0071,0.126088032,0.063349685
CTL0072,0.030509371,0.136720732
CTL0073,0.048304377,0.101793981
CTL0074,0.10614966,0.249086455
CTL0075,0.270350384,0.584709992
CTL0076,0.093336609,0.365895007
CTL0077,0.449058386,0.473983845
CTL0078,0.181726296,0.152793026
CTL0079,0.111458117,0.10573672
CTL0080,0.262103291,0.02736431
CTL0081,0.140060326,0.010427995
CTL0082,0.24979171,0.048766219
CTL0083,0.020029918,0.037549914
CTL0084,0.00805221,0.014898521
CTL0085,0.011831407,0.001951357
CTL0086,0.007754303,0.001364975
CTL0087,0.032259372,0.005076646
CTL0088,0.030566611,0.010170028
CTL0089,0.00393971,0.014933589
CTL0090,0.019553623,0.039870703
CTL0091,0.010935252,0.023222759
CTL0092,0.054515582,0.17894385
CTL0093,0.009165954,0.014030747
CTL0094,0.014728795,0.019648418
CTL0095,0.03190197,0.04339117
CTL0096,0.076678002,0.176540027
CTL0097,0.033022326,0.058969342
CTL0098,0.028852822,0.102819161
CTL0099,0.012836123,0.04199709
CTL0100,0.04183672,0.18292042
CTL0101,0.01929538,0.065664372
CTL0102,0.076845887,0.082090307
CTL0103,0.313778487,0.299248408
CTL0104,0.131891991,0.13120397
CTL0105,0.091693811,0.107615666
CTL0106,0.033565779,0.01564385
CTL0107,0.021377153,0.026235649
CTL0108,0.095253199,0.090436381
CTL0109,0.09259531,0.115907824
CTL0110,0.060870696,0.310090601
CTL0111,0.007734028,0.017145237
CTL0112,0.609365241,0.027708047
CTL0113,0.031275051,0.02686623
CTL0114,0.010510393,0.043375152
CTL0115,0.01581799,0.056912911
CTL0116,0.021208476,0.054572511
CTL0117,0.06216048,0.257367124
CTL0118,0.052901968,0.232956085
CTL0119,0.050353675,0.247674588
CTL0120,0.029259504,0.075624091
CTL0121,0.121718874,0.25452862
CTL0122,0.001798669,0.004221803
CTL0123,0.003483497,0.007375394
CTL0124,0.081176719,0.087942034
CTL0125,0.017102094,0.030899536
CTL0126,0.011254461,0.025676713
CTL0127,0.138176516,0.157059906
CTL0128,0.051686077,0.063799331
CTL0129,0.039292797,0.045078755
CTL0130,0.010291601,0.009668892
CTL0131,0.087094649,0.170217699
CTL0132,0.068140506,0.2276192
CTL0133,0.002175179,0.005643086
CTL0134,0.004538415,0.004269184
CTL0135,0.028211649,0.051405849
CTL0136,0.013144714,0.016837415
CTL0137,0.115099904,0.480750655
CTL0138,0.10271919,0.229340294
CTL0139,0.113248045,0.241744719
CTL0140,0.065979745,0.137221251
CTL0141,0.03243375,0.164055899
CTL0142,0.085134085,0.251294925
CTL0143,0.003679437,0.012066638
CTL0144,0.071382031,0.096799833
CTL0145,0.083963847,0.098229493
CTL0146,0.075829845,0.123036715
CTL0147,0.009172142,0.021205128
CTL0148,0.000311992,0.000523289
CTL0149,0.050992721,0.025865356
CTL0150,0.037651618,0.077184656
CTL0151,0.056507657,0.226991439
CTL0152,0.48840552,0.130088292
CTL0153,0.06606348,0.214652068
CTL0153A,0.005207125,0.013234355
CTL0154,0.048387447,0.139987675
CTL0155,0.06873673,0.205687913
